지점번호,지점명,일시,평균기온,최고기온,최고기온시각,최저기온,최저기온시각
108,서울,2010-01-01,-7.6,-3.6,15:01,-12.7,6:54
108,서울,2010-01-02,-3.6,0.2,15:24,-7.4,23:59
108,서울,2010-01-03,-6.8,-3.2,14:38,-10.5,7:48
108,서울,2010-01-04,-5.9,-3.4,14:25,-8,24:00:00
108,서울,2010-01-05,-9.9,-7,15:06,-12.3,23:33
108,서울,2010-01-06,-11.2,-8.1,13:50,-13.3,6:27
108,서울,2010-01-07,-10.1,-5.5,14:50,-13.6,5:54
108,서울,2010-01-08,-8,-3.3,15:09,-11.8,6:57
108,서울,2010-01-09,-5.1,-1.9,14:38,-8.7,5:28
108,서울,2010-01-10,-3.4,-0.3,14:18,-5.3,5:07
108,서울,2010-01-11,-5.2,-1.3,13:27,-8.3,23:56
108,서울,2010-01-12,-10.3,-7.3,14:30,-12.9,23:58
108,서울,2010-01-13,-13.2,-10.7,14:47,-15.3,7:48
108,서울,2010-01-14,-9.1,-4.1,15:07,-14.4,5:43
108,서울,2010-01-15,-5,-0.6,14:24,-7.5,0:27
108,서울,2010-01-16,-6.4,-2.1,15:52,-10.1,6:41
108,서울,2010-01-17,-4,1.4,14:21,-9,7:43
108,서울,2010-01-18,-0.5,1.9,15:24,-3.9,4:05
108,서울,2010-01-19,2.7,6.8,14:24,-1.6,6:30
108,서울,2010-01-20,5.8,8.4,14:31,2.4,23:57
108,서울,2010-01-21,-4.1,2.4,0:00,-8,23:57
108,서울,2010-01-22,-7,-3.4,15:19,-9.6,6:31
108,서울,2010-01-23,-5.3,-0.9,16:08,-9.1,6:05
108,서울,2010-01-24,0.3,3.8,13:22,-4.5,0:00
108,서울,2010-01-25,-3,2.6,2:01,-8.5,23:57
108,서울,2010-01-26,-4.1,1.1,15:12,-9.5,6:32
108,서울,2010-01-27,-0.2,3.1,13:08,-4,2:30
108,서울,2010-01-28,-0.4,2.7,13:15,-5,23:56
108,서울,2010-01-29,-2.1,1.4,16:16,-7.3,3:22
108,서울,2010-01-30,1.5,5,13:18,-1.7,7:38
108,서울,2010-01-31,1.8,4.3,15:30,-0.5,3:48
108,서울,2010-02-01,0.8,5.1,15:28,-2.6,23:58
108,서울,2010-02-02,-6.2,-2.6,0:00,-9.1,23:53
108,서울,2010-02-03,-8,-5,15:36,-10.8,7:52
108,서울,2010-02-04,-4.3,-0.6,14:47,-8.3,6:44
108,서울,2010-02-05,-5.5,-1.9,15:29,-7.9,7:53
108,서울,2010-02-06,-4.7,0.9,16:14,-9.6,7:36
108,서울,2010-02-07,0.7,5.6,15:44,-6.3,6:27
108,서울,2010-02-08,4,5.7,12:35,3,4:03
108,서울,2010-02-09,3.7,4.4,1:02,2.9,5:55
108,서울,2010-02-10,3.9,5,17:14,3.1,5:54
108,서울,2010-02-11,0.6,3.5,1:41,-0.8,9:59
108,서울,2010-02-12,-0.3,1.1,15:13,-1.8,3:44
108,서울,2010-02-13,-2.3,-0.3,15:18,-3.3,21:28
108,서울,2010-02-14,-2.2,1.2,15:48,-5,6:07
108,서울,2010-02-15,-3.1,-0.3,13:44,-6,23:50
108,서울,2010-02-16,-4.5,-0.4,14:50,-8,7:38
108,서울,2010-02-17,-3.2,0.3,16:46,-7.2,5:07
